,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare
0,1,0,3,"braund, mr. owen harris",male,22.0,1,0,A/5 21171,7.25
1,2,1,1,"cumings, mrs. john bradley (florence briggs thayer)",female,38.0,1,0,PC 17599,71.2833
2,3,1,3,"heikkinen, miss. laina",female,26.0,0,0,STON/O2. 3101282,7.925
3,4,1,1,"futrelle, mrs. jacques heath (lily may peel)",female,35.0,1,0,113803,53.1
4,5,0,3,"allen, mr. william henry",male,35.0,0,0,373450,8.05
5,6,0,3,"moran, mr. james",male,,0,0,330877,8.4583
6,7,0,1,"mccarthy, mr. timothy j",male,54.0,0,0,17463,51.8625
7,8,0,3,"palsson, master. gosta leonard",male,2.0,3,1,349909,21.075
8,9,1,3,"johnson, mrs. oscar w (elisabeth vilhelmina berg)",female,27.0,0,2,347742,11.1333
9,10,1,2,"nasser, mrs. nicholas (adele achem)",female,14.0,1,0,237736,30.0708
10,11,1,3,"sandstrom, miss. marguerite rut",female,4.0,1,1,PP 9549,16.7
11,12,1,1,"bonnell, miss. elizabeth",female,58.0,0,0,113783,26.55
12,13,0,3,"saundercock, mr. william henry",male,20.0,0,0,A/5. 2151,8.05
13,14,0,3,"andersson, mr. anders johan",male,39.0,1,5,347082,31.275
14,15,0,3,"vestrom, miss. hulda amanda adolfina",female,14.0,0,0,350406,7.8542
15,16,1,2,"hewlett, mrs. (mary d kingcome) ",female,55.0,0,0,248706,16.0
16,17,0,3,"rice, master. eugene",male,2.0,4,1,382652,29.125
17,18,1,2,"williams, mr. charles eugene",male,,0,0,244373,13.0
18,19,0,3,"vander planke, mrs. julius (emelia maria vandemoortele)",female,31.0,1,0,345763,18.0
19,20,1,3,"masselmani, mrs. fatima",female,,0,0,2649,7.225
20,21,0,2,"fynney, mr. joseph j",male,35.0,0,0,239865,26.0
21,22,1,2,"beesley, mr. lawrence",male,34.0,0,0,248698,13.0
22,23,1,3,"mcgowan, miss. anna ""annie""",female,15.0,0,0,330923,8.0292
23,24,1,1,"sloper, mr. william thompson",male,28.0,0,0,113788,35.5
24,25,0,3,"palsson, miss. torborg danira",female,8.0,3,1,349909,21.075
25,26,1,3,"asplund, mrs. carl oscar (selma augusta emilia johansson)",female,38.0,1,5,347077,31.3875
26,27,0,3,"emir, mr. farred chehab",male,,0,0,2631,7.225
27,28,0,1,"fortune, mr. charles alexander",male,19.0,3,2,19950,263.0
28,29,1,3,"o'dwyer, miss. ellen ""nellie""",female,,0,0,330959,7.8792
29,30,0,3,"todoroff, mr. lalio",male,,0,0,349216,7.8958
30,31,0,1,"uruchurtu, don. manuel e",male,40.0,0,0,PC 17601,27.7208
31,32,1,1,"spencer, mrs. william augustus (marie eugenie)",female,,1,0,PC 17569,146.5208
32,33,1,3,"glynn, miss. mary agatha",female,,0,0,335677,7.75
33,34,0,2,"wheadon, mr. edward h",male,66.0,0,0,C.A. 24579,10.5
34,35,0,1,"meyer, mr. edgar joseph",male,28.0,1,0,PC 17604,82.1708
35,36,0,1,"holverson, mr. alexander oskar",male,42.0,1,0,113789,52.0
36,37,1,3,"mamee, mr. hanna",male,,0,0,2677,7.2292
37,38,0,3,"cann, mr. ernest charles",male,21.0,0,0,A./5. 2152,8.05
38,39,0,3,"vander planke, miss. augusta maria",female,18.0,2,0,345764,18.0
39,40,1,3,"nicola-yarred, miss. jamila",female,14.0,1,0,2651,11.2417
40,41,0,3,"ahlin, mrs. johan (johanna persdotter larsson)",female,40.0,1,0,7546,9.475
41,42,0,2,"turpin, mrs. william john robert (dorothy ann wonnacott)",female,27.0,1,0,11668,21.0
42,43,0,3,"kraeff, mr. theodor",male,,0,0,349253,7.8958
43,44,1,2,"laroche, miss. simonne marie anne andree",female,3.0,1,2,SC/Paris 2123,41.5792
44,45,1,3,"devaney, miss. margaret delia",female,19.0,0,0,330958,7.8792
45,46,0,3,"rogers, mr. william john",male,,0,0,S.C./A.4. 23567,8.05
46,47,0,3,"lennon, mr. denis",male,,1,0,370371,15.5
47,48,1,3,"o'driscoll, miss. bridget",female,,0,0,14311,7.75
48,49,0,3,"samaan, mr. youssef",male,,2,0,2662,21.6792
49,50,0,3,"arnold-franchi, mrs. josef (josefine franchi)",female,18.0,1,0,349237,17.8
50,51,0,3,"panula, master. juha niilo",male,7.0,4,1,3101295,39.6875
51,52,0,3,"nosworthy, mr. richard cater",male,21.0,0,0,A/4. 39886,7.8
52,53,1,1,"harper, mrs. henry sleeper (myna haxtun)",female,49.0,1,0,PC 17572,76.7292
53,54,1,2,"faunthorpe, mrs. lizzie (elizabeth anne wilkinson)",female,29.0,1,0,2926,26.0
54,55,0,1,"ostby, mr. engelhart cornelius",male,65.0,0,1,113509,61.9792
55,56,1,1,"woolner, mr. hugh",male,,0,0,19947,35.5
56,57,1,2,"rugg, miss. emily",female,21.0,0,0,C.A. 31026,10.5
57,58,0,3,"novel, mr. mansouer",male,28.5,0,0,2697,7.2292
58,59,1,2,"west, miss. constance mirium",female,5.0,1,2,C.A. 34651,27.75
59,60,0,3,"goodwin, master. william frederick",male,11.0,5,2,CA 2144,46.9
60,61,0,3,"sirayanian, mr. orsen",male,22.0,0,0,2669,7.2292
61,62,1,1,"icard, miss. amelie",female,38.0,0,0,113572,80.0
62,63,0,1,"harris, mr. henry birkhardt",male,45.0,1,0,36973,83.475
63,64,0,3,"skoog, master. harald",male,4.0,3,2,347088,27.9
64,65,0,1,"stewart, mr. albert a",male,,0,0,PC 17605,27.7208
65,66,1,3,"moubarek, master. gerios",male,,1,1,2661,15.2458
66,67,1,2,"nye, mrs. (elizabeth ramell)",female,29.0,0,0,C.A. 29395,10.5
67,68,0,3,"crease, mr. ernest james",male,19.0,0,0,S.P. 3464,8.1583
68,69,1,3,"andersson, miss. erna alexandra",female,17.0,4,2,3101281,7.925
69,70,0,3,"kink, mr. vincenz",male,26.0,2,0,315151,8.6625
70,71,0,2,"jenkin, mr. stephen curnow",male,32.0,0,0,C.A. 33111,10.5
71,72,0,3,"goodwin, miss. lillian amy",female,16.0,5,2,CA 2144,46.9
72,73,0,2,"hood, mr. ambrose jr",male,21.0,0,0,S.O.C. 14879,73.5
73,74,0,3,"chronopoulos, mr. apostolos",male,26.0,1,0,2680,14.4542
74,75,1,3,"bing, mr. lee",male,32.0,0,0,1601,56.4958
75,76,0,3,"moen, mr. sigurd hansen",male,25.0,0,0,348123,7.65
76,77,0,3,"staneff, mr. ivan",male,,0,0,349208,7.8958
77,78,0,3,"moutal, mr. rahamin haim",male,,0,0,374746,8.05
78,79,1,2,"caldwell, master. alden gates",male,0.83,0,2,248738,29.0
79,80,1,3,"dowdell, miss. elizabeth",female,30.0,0,0,364516,12.475
80,81,0,3,"waelens, mr. achille",male,22.0,0,0,345767,9.0
81,82,1,3,"sheerlinck, mr. jan baptist",male,29.0,0,0,345779,9.5
82,83,1,3,"mcdermott, miss. brigdet delia",female,,0,0,330932,7.7875
83,84,0,1,"carrau, mr. francisco m",male,28.0,0,0,113059,47.1
84,85,1,2,"ilett, miss. bertha",female,17.0,0,0,SO/C 14885,10.5
85,86,1,3,"backstrom, mrs. karl alfred (maria mathilda gustafsson)",female,33.0,3,0,3101278,15.85
86,87,0,3,"ford, mr. william neal",male,16.0,1,3,W./C. 6608,34.375
87,88,0,3,"slocovski, mr. selman francis",male,,0,0,SOTON/OQ 392086,8.05
88,89,1,1,"fortune, miss. mabel helen",female,23.0,3,2,19950,263.0
89,90,0,3,"celotti, mr. francesco",male,24.0,0,0,343275,8.05
90,91,0,3,"christmann, mr. emil",male,29.0,0,0,343276,8.05
91,92,0,3,"andreasson, mr. paul edvin",male,20.0,0,0,347466,7.8542
